TAXONOMY,VARIABLE
Masterplan Development Metrics,Residential Units
Masterplan Development Metrics,Apt
Masterplan Development Metrics,Villa
Masterplan Development Metrics,Residential GFA
Masterplan Development Metrics,Retail GFA
Masterplan Development Metrics,Office GFA
Masterplan Development Metrics,Hotel GFA
Masterplan Development Metrics,Community Facilities GFA
Masterplan Development Metrics,Industrial GFA
Masterplan Development Metrics,Other GFA
Masterplan Development Metrics,Education GFA
Masterplan Development Metrics,Health Care GFA
